P,wt_e,wt_a
0.1,1.641157505,1.706349642
0.2,2.305586964,2.427822221
0.3,2.725067128,2.912494522
0.4,3.043844726,3.28831524
0.5,3.280720899,3.59038355
1,4.021566463,4.640891764
1.5,4.403447931,5.348733917
2,4.635957208,5.90720388
2.5,4.762591902,6.376097293
3,4.825832132,6.781596242
3.5,4.84572975,7.14375258
4,4.819074044,7.467504609
4.5,4.763562722,7.762401024
5,4.691070206,8.032167228
5.5,4.598657201,8.282012942
6,4.485100811,8.51071527
6.5,4.372123978,8.723699123
7,4.248352577,8.925888407
7.5,4.112536766,9.107884263
8,3.979431209,9.284441357
8.5,3.854996858,9.453371623
9,3.718478059,9.61021744
9.5,3.590052863,9.758858826
10,3.464739613,9.902463142
