P,wt_e,wt_a
0.1,17.1019237,17.66487015
0.2,24.34878294,25.47467584
0.3,29.0837751,30.66002517
0.4,32.45642558,34.5956221
0.5,35.06988197,37.77202495
1,42.93045642,48.33474238
1.5,47.09739508,55.20382401
2,49.52905129,60.45021249
2.5,50.78997028,64.63845304
3,51.46184913,68.23765344
3.5,51.45732979,71.27304496
4,51.22174796,73.96478469
4.5,50.61583293,76.3987805
5,49.63300048,78.4558589
5.5,48.70525797,80.45543795
6,47.67248091,82.23739316
6.5,46.28600685,83.77824065
7,44.98604189,85.29300796
7.5,43.63117389,86.64028294
8,42.35856137,87.95722411
8.5,40.92902641,89.11724283
9,39.54215378,90.2073346
9.5,38.26862028,91.2981762
10,36.88501724,92.27894827
