P,wt_e,wt_a
0.1,1.473372747,1.495844409
0.2,1.903730987,1.944179978
0.3,2.141376659,2.19980298
0.4,2.295601412,2.376499394
0.5,2.41346318,2.512338491
1,2.70849093,2.906241553
1.5,2.817631177,3.118751444
2,2.849140971,3.258125214
2.5,2.841183096,3.358031316
3,2.812469226,3.437181422
3.5,2.769048223,3.501624395
4,2.710127406,3.555061887
4.5,2.643764245,3.601057034
5,2.570230675,3.639881773
5.5,2.497268905,3.674783979
6,2.422346677,3.707725727
6.5,2.34696423,3.735712924
7,2.270878629,3.762996967
7.5,2.190245572,3.785733554
8,2.116092924,3.810456217
8.5,2.038986061,3.827730333
9,1.970928236,3.849559156
9.5,1.899218257,3.867735824
10,1.831508624,3.885418505
