P,wt_e,wt_a
0.1,1.751727102,1.840244847
0.2,2.469599891,2.653444439
0.3,2.944582845,3.216945139
0.4,3.300022811,3.660902851
0.5,3.580873821,4.030271607
1,4.452016176,5.364429861
1.5,4.911313105,6.307169863
2,5.199517034,7.078816864
2.5,5.35594564,7.739115714
3,5.431417504,8.32526688
3.5,5.450842292,8.85537097
4,5.41434865,9.336365686
4.5,5.356060668,9.788757006
5,5.25521122,10.20539592
5.5,5.14019866,10.5942536
6,5.005098247,10.96302343
6.5,4.85753458,11.3057119
7,4.703315514,11.62812684
7.5,4.53979473,11.93443102
8,4.375474291,12.22631742
8.5,4.212288423,12.50572028
9,4.048255053,12.77065753
9.5,3.883681408,13.02143638
10,3.721767199,13.26125655
