P,wt_e,wt_a
0.1,10.4617362,12.1052633
0.2,19.03842898,22.1200423
0.3,26.15896908,30.67866862
0.4,32.25397702,38.21176278
0.5,37.63463823,45.03051021
1,56.75002948,71.74721432
1.5,68.56775361,91.57713308
2,76.78158437,107.8031585
2.5,82.19117166,121.4303813
3,86.00618019,133.4630254
3.5,88.34369894,144.2236205
4,89.26813363,153.7765725
4.5,89.49563887,162.4271542
5,89.01035463,170.3649463
5.5,87.98919426,177.5614215
6,86.6924678,184.4823306
6.5,84.58028484,190.5877831
7,82.56459745,196.3788495
7.5,80.44584449,201.8614094
8,77.80234208,206.8192198
8.5,75.39054001,211.5978489
9,72.95168137,216.1439804
9.5,70.39289457,220.3647429
10,67.83259572,224.3785525
