P,wt_e,wt_a
0.1,16.85235784,17.50428764
0.2,23.36431637,24.66817597
0.3,27.48536671,29.4411561
0.4,30.51738267,33.12510185
0.5,32.89710244,36.15675142
1,40.27311178,46.85760272
1.5,44.31167865,54.28620453
2,46.85211216,60.34705894
2.5,48.28382823,65.36438888
3,49.0182467,69.74961421
3.5,49.32546601,73.70764037
4,49.12716331,77.22533751
4.5,48.68364895,80.43263
5,47.96047887,83.42545976
5.5,47.02888032,86.14466807
6,45.95968807,88.6610897
6.5,44.87177631,91.02840586
7,43.61111881,93.22297627
7.5,42.29857681,95.30046921
8,40.94598025,97.20752163
8.5,39.66984724,99.06065164
9,38.39041024,100.8452847
9.5,37.06329631,102.5170478
10,35.73586946,104.0581121
