P,Z
0.033333,0.991588859
0.066667,0.991084692
0.1,0.990529835
0.13333,0.989971479
0.16667,0.989470452
0.2,0.98893074
0.23333,0.988371334
0.26667,0.987872081
0.3,0.987326399
0.33333,0.986796759
0.36667,0.986246363
0.4,0.985763541
0.43333,0.985211942
0.46667,0.984694219
0.5,0.984164283
0.53333,0.983642978
0.56667,0.983146205
0.6,0.982637167
0.63333,0.982133401
0.66667,0.981648905
0.7,0.981108915
0.73333,0.980618525
0.76667,0.980103769
0.8,0.979620147
0.83333,0.979101982
0.86667,0.978635451
0.9,0.978124953
0.93333,0.977651393
0.96667,0.977157772
1,0.976657216
1.0333,0.976161072
1.0667,0.975730704
1.1,0.975238155
1.1333,0.974721335
1.1667,0.974318031
1.2,0.973831031
1.2333,0.973346188
1.2667,0.972916255
1.3,0.972433959
1.3,0.972433959
1.3,0.972433959
1.3333,0.971953518
1.3667,0.97156802
1.4,0.971088708
1.4333,0.970611069
1.4667,0.970221709
1.5,0.969765257
1.5333,0.969309419
1.5667,0.968916026
1.6,0.968460062
1.6333,0.968023093
1.6667,0.967644033
1.7,0.967205637
1.7333,0.966767199
1.7667,0.966383446
1.8,0.965960558
1.8333,0.965537104
1.8667,0.965180816
1.9,0.964770844
1.9333,0.964359927
1.9667,0.96399715
2,0.963598569
2.0333,0.963198752
2.0667,0.962858724
2.1,0.962469788
2.1333,0.962079406
2.1667,0.961745714
2.2,0.961365228
2.2333,0.960996376
2.2667,0.960667983
2.3,0.960307589
2.3333,0.959945099
2.3667,0.95963362
2.4,0.95927876
2.4333,0.958933864
2.4667,0.958637382
2.5,0.958298907
2.5333,0.957957965
2.5667,0.957674851
2.6,0.957351067
2.6333,0.957024549
2.6667,0.956753265
2.7,0.956442572
2.7333,0.956128937
2.7667,0.95586817
2.8,0.955569195
2.8333,0.955277428
2.8667,0.955015742
2.9,0.954737362
2.9333,0.954455517
2.9667,0.954212325
3,0.95394287
3.0333,0.953679478
3.0667,0.953405597
3.1,0.953228978
3.1333,0.952963394
3.1667,0.952733625
3.2,0.952478994
3.2333,0.952229741
3.2667,0.952014838
3.3,0.951775539
3.3333,0.951628091
3.3667,0.951425796
3.4,0.951199583
3.4333,0.950977862
3.4667,0.950787928
3.5,0.950574533
3.5333,0.950365253
3.5667,0.950267644
3.6,0.950065211
3.6333,0.949866571
3.6667,0.949697522
3.7,0.949583921
3.7333,0.949395087
3.7667,0.949234865
3.8,0.949128413
3.8333,0.948948633
3.8667,0.948796554
3.9,0.948696667
3.9333,0.948525269
3.9667,0.948453302
4,0.948286872
4.0333,0.948194595
4.0667,0.94805641
4.1,0.947967548
4.1333,0.947880135
4.1667,0.947747875
4.2,0.94766363
4.2333,0.947580726
4.2667,0.947521337
