NUMBER,NAME,N2_HEAT,SF6_HEAT
,12,-16.91364394,-56.64034142
,101,-11.96783335,-32.07239647
,124,-14.18949648,-37.74028718
,269,-16.26785162,-47.86472041
,382,-12.99132482,-30.97882145
,384,-13.58911924,-32.98068513
,387,-11.3539522,-28.03970394
,458,-11.31448216,-28.28025846
,480,-13.59801858,-32.1483434
,555,-10.68779938,-24.33772474
,668,-13.02814146,-30.54113376
,678,-11.27643503,-28.78115565
,679,-11.14421754,-29.95713274
,680,-11.42163559,-30.16301654
,801,-13.04400329,-36.82303628
,802,-13.9148051,-35.64030352
,833,-15.84050276,-43.96955059
,852,-13.30355596,-31.61578926
,881,-12.59360405,-31.02574502
,1161,-12.12319834,-33.2855666
,1217,-12.97126387,-30.55192718
,1238,-11.8240401,-29.74136785
,1304,-11.21083964,-26.10246754
,1305,-11.16773744,-25.95949573
,1314,-11.25885409,-26.05772174
,1317,-11.24626804,-26.06707601
,1340,-13.712567,-36.7684668
,1395,-11.50015276,-31.75346297
,1426,-14.42928465,-38.46984739
,1552,-12.54097233,-30.53129412
,1600,-15.96430401,-37.01913226
,1634,-13.42258773,-28.74367717
,1659,-14.30554547,-35.17899917
,1664,-14.31946322,-35.72049467
,1701,-12.72687755,-30.20219424
,1703,-13.65363707,-34.47625223
,1706,-11.70779683,-32.04885379
,1722,-15.74682924,-40.89030357
,1739,-13.32232665,-34.51346079
,1781,-12.55590296,-36.2555022
,1901,-12.61744678,-33.01719943
,1929,-14.63092525,-38.72677776
,1948,-12.92270186,-32.76825926
,1954,-12.97614736,-32.44082216
,1961,-15.98546558,-48.23071157
,2064,-12.12291365,-29.81674171
,2066,-16.27650162,-37.37590117
,2113,-20.24061237,-51.90179815
,2153,-13.10637945,-33.12327506
,2196,-12.19054358,-27.99522618
,2199,-12.0733881,-31.82480847
,2235,-11.45804123,-27.72635998
,2261,-12.92936245,-30.36719533
,2278,-13.02003775,-33.65959199
,2282,-12.7895026,-35.39472752
,2283,-12.87187116,-35.70810884
,2297,-13.04545156,-34.22095461
,2362,-11.81490798,-29.54862274
,2440,-17.78571352,-48.72455203
,2456,-13.40309643,-31.4967166
,2457,-13.59682362,-32.86527286
,2458,-13.52557572,-32.59519817
,2459,-13.4861375,-32.34720583
,2495,-11.77428554,-30.3299511
,2521,-13.63905012,-34.87000373
,2545,-12.12615278,-27.04597109
,2546,-12.07772753,-27.03462737
,2547,-11.75376328,-26.24389662
,2634,-14.82437213,-46.40287994
,2677,-12.71171825,-31.78025518
,2715,-15.14038555,-39.49189339
,2719,-12.00993376,-36.97022228
,2721,-17.40298754,-51.15792349
,2739,-16.40733451,-30.88947543
,2746,-16.26331903,-45.20653888
,2757,-15.14476026,-48.6213324
,2759,-15.70520418,-46.2080517
,2770,-22.75401965,-66.79874239
,2774,-15.22907144,-36.62980517
,2775,-15.38415069,-36.48514561
,2786,-15.76129105,-43.59006022
,2787,-15.70911457,-41.56713857
,2788,-15.99337308,-43.65491235
,2839,-10.9951954,-25.47096537
,2866,-11.668461,-26.7034288
,2880,-9.759083807,-19.01195671
