NUMBER,NAME,N2_HEAT,SF6_HEAT
,175,-11.23434621,-29.19226058
,193,-11.17375786,-29.27196854
,222,-13.17480797,-34.84712979
,244,-10.54554763,-24.63938408
,279,-11.88538603,-37.8903025
,385,-10.06860386,-24.45761819
,386,-10.08336117,-24.43673779
,387,-11.3539522,-28.03970394
,388,-10.07089692,-24.38243449
,490,-10.14528074,-24.46576457
,491,-10.15695001,-24.60494219
,1149,-14.55665198,-45.33922403
,1161,-12.12319834,-33.2855666
,1542,-13.47038145,-45.43189609
,1689,-11.39665601,-32.56854441
,1925,-11.81191774,-28.96747031
,2190,-13.39032403,-31.82135464
,2229,-15.95035717,-38.83738347
,2276,-11.2671608,-27.16510635
,2277,-11.04104258,-28.30322586
,2278,-13.02003775,-33.65959199
,2279,-8.804710649,-22.13511619
,2280,-9.412793524,-24.29674626
,2282,-12.79147067,-35.31400239
,2305,-12.57011389,-33.50454024
,2334,-12.66010279,-32.58444508
,2434,-13.38014889,-33.59294682
,2452,-8.932735029,-20.6804654
,2468,-9.652996781,-24.46271769
,2528,-9.393381721,-22.79068266
,2529,-12.74239141,-29.27914191
,2530,-10.55305587,-26.84265297
,2531,-12.23840675,-24.89009957
,2534,-10.52966906,-26.9689808
,2535,-10.51335868,-27.08428584
,2536,-10.54358529,-27.19173072
,2537,-10.54690774,-27.18175258
,2538,-10.59022271,-27.20567631
,2539,-10.58654142,-27.26859645
,2540,-10.58179317,-27.26706176
,2541,-10.62242559,-27.0726975
,2542,-10.55076953,-26.96269174
,2549,-11.80557825,-26.27553974
,2569,-12.31871282,-38.30103221
,2633,-14.39491843,-44.76244462
,2709,-10.3998693,-27.48392213
,2733,-9.501403433,-24.95576327
,2753,-11.04774339,-25.80928761
,2764,-13.157815,-30.47409426
,2768,-11.53779856,-19.46744501
,2769,-11.48018576,-22.48587498
,2780,-9.830174084,-19.20880492
,2781,-12.4993698,-23.40532097
,2782,-9.364629568,-28.19239948
,2784,-14.01102614,-39.53652707
,2816,-18.37172423,-30.8129717
,2817,-18.36543709,-39.67074899
,2819,-12.48565906,-33.44606553
,2822,-14.18706592,-46.34835923
,2824,-14.0530708,-43.77074179
,2845,-10.5741224,-28.73420595
,538,-14.15193662,-43.69400055
