Screening ID,MOFs,5SF6,1SF6,0SF6,5N2,1N2,0N2,LCD,PLD,VolumetricSurfaceArea,GravimetricSurfaceArea,PoreVolume,VoidFraction,5Selectivity,5WC,1Selectivity,1WC
175,BEXVEH_clean,5.344968054,2.615837925,0.288461772,0.515840366,0.214153688,0.029039544,9.96176,6.15284,2363.2,3018.77,0.933999,0.731167,93.25503713,2.729130129,109.932925,2.327376153
193,BIPBAF_clean,5.556769279,2.910448315,0.339297108,0.494074313,0.198137858,0.028048922,10.29329,6.42267,2361.31,3020.38,0.941561,0.736105,101.2214604,2.646320964,132.2010599,2.571151207
222,BUVYIB01_clean,5.254613235,1.7585558,0.150444002,0.505433216,0.243988457,0.031447993,10.81747,8.62628,2301.17,3369.27,1.03356,0.705913,93.56630632,3.496057435,64.86783184,1.608111798
244,c6cc02494g_c6cc02494g5_clean,4.279396406,1.086602779,0.092989146,0.325362236,0.152587339,0.017294119,11.53114,10.7676,1608.24,1572.73,0.648488,0.663127,118.3744252,3.192793627,64.09067145,0.993613633
279,CAYQIE_clean,5.751956211,2.940347833,0.585274081,0.47891077,0.219654031,0.031817037,11.36799,6.51795,2513.6,3611.06,1.05368,0.733451,108.0944701,2.811608378,120.4764164,2.355073752
385,COJTAX_clean,6.774509314,2.138493093,0.158561899,0.717450325,0.277545683,0.02965587,14.21925,7.4388,2300.24,3273.48,1.12956,0.79373,84.98230707,4.636016221,69.34511692,1.979931194
386,COJTEB_clean,6.800146398,2.137051873,0.146810414,0.71742261,0.272390551,0.029350997,14.18764,7.41918,2298.96,3265.64,1.127,0.79339,85.30720489,4.663094525,70.60989005,1.990241459
387,COJTIF_clean,7.522369223,4.900171843,0.497162402,0.628825358,0.264070206,0.038241287,14.3598,7.47295,2283.34,3019.72,1.0493,0.79342,107.6631566,2.62219738,167.0069004,4.403009441
388,COJTOL_clean,6.724343777,2.076576071,0.161388907,0.727511148,0.279374924,0.03018247,14.38652,7.48999,2281.06,3261.34,1.13837,0.796202,83.18648334,4.647767706,66.89642854,1.915187164
490,DOMGAO_clean,6.756106045,2.386660064,0.172724655,0.726402518,0.280012387,0.029739017,14.39354,7.51084,2277.38,3236.27,1.13226,0.796781,83.70697086,4.369445981,76.71067986,2.213935409
491,DOMGES_clean,6.8913867,2.406837142,0.165435409,0.715759664,0.278626598,0.031374247,14.21912,7.43861,2290.67,3236.17,1.12259,0.79461,86.65266209,4.484549558,77.74395709,2.241401733
1149,ja5111317_ja5111317_si_002_clean,7.61691864,4.255497572,1.379589857,0.751264203,0.301226711,0.037960079,20.66069,7.76126,1913.48,2842.39,1.18212,0.7958,91.24921364,3.361421068,127.1450265,2.875907715
1161,ja5b00450_si_002_clean,7.77442521,4.468304897,1.340461275,0.627397646,0.254884338,0.042013428,13.25276,11.47898,2114.71,3506.61,1.28643,0.7758,111.5238913,3.306120313,157.7764424,3.127843622
1542,MOKVOZ_clean,6.876214069,3.230378017,0.978142365,0.528672149,0.256724538,0.033352914,13.24903,6.01162,2549.61,3518.57,1.02673,0.743985,117.0591769,3.645836052,113.2474612,2.252235652
1689,OKERAY_clean,6.379748166,2.860894012,0.607312045,0.628880554,0.241491511,0.035436442,17.66114,6.7817,1958.27,3132.3,1.21655,0.760569,91.30149299,3.518854154,106.620916,2.253581967
