Screening ID,MOFs,5SF6,1SF6,0SF6,5N2,1N2,0N2,LCD,PLD,VolumetricSurfaceArea,GravimetricSurfaceArea,PoreVolume,VoidFraction,5Selectivity,5WC,1Selectivity,1WC,
2196,TETRER_clean,7.6935,6.283,0.934121906,0.436,0.1795,0.048556388,9.13487,7.18061,2473.07,3025.98,0.949432,0.77595,158.8107798,1.4105,315.0250696,5.348878094,
1954,RAHNUL_clean,8.099563464,6.739030566,1.557431738,0.679224364,0.26412636,0.058107102,17.79893,6.53311,2286.32,3114.16,1.02778,0.754561,107.3225212,1.360532898,229.6297692,5.181598828,
1217,JODGOA_clean,6.890414105,5.996244113,0.919316184,0.151726158,0.124557993,0.043310434,10.46102,9.40335,1682.11,2213.68,0.884542,0.672135,408.721396,0.894169992,433.2616145,5.076927929,
387,COJTIF_clean,7.522369223,4.900171843,0.497162402,0.628825358,0.264070206,0.038241287,14.3598,7.47295,2283.34,3019.72,1.0493,0.79342,107.6631566,2.62219738,167.0069004,4.403009441,
2739,XUFWIF_clean,6.559801633,4.729054272,0.512758667,0.336850218,0.213789875,0.05554958,10.42496,6.51739,2295.54,2696.06,0.83395,0.710061,175.2654788,1.830747361,199.0809361,4.216295604,
1634,NOBWEI_clean,5.991725768,4.727700744,0.646453468,0.491274977,0.20803451,0.045370731,16.2907,8.53738,1813.89,1984.97,0.817706,0.747227,109.7664942,1.264025024,204.5300402,4.081247276,
1340,KUSDOT_clean,6.683564506,5.490494975,1.724548842,0.554680299,0.22763616,0.049646059,9.51801,8.40008,2299.36,2788.26,0.89651,0.739314,108.4445953,1.193069531,217.0764732,3.765946133,
801,FUYCOT_clean,6.547371169,4.552771388,0.881692829,0.494782098,0.219471994,0.038880056,12.48944,7.41778,2217.1,2740.64,0.964672,0.780391,119.0955387,1.994599781,186.6978185,3.671078559,
802,FUYCUZ_clean,6.310590777,5.654062632,2.044565935,0.316449206,0.129171473,0.046445406,12.25879,7.14465,2184.3,2362.73,0.823692,0.761487,179.4768826,0.656528145,393.9458342,3.609496697,
1552,MOYZEG_clean,5.656256738,4.219672777,0.824994238,0.746589858,0.270059532,0.044150615,10.75807,6.05642,2148.44,2629.27,0.858715,0.701677,68.18510873,1.436583961,140.624753,3.394678539,
