p,q
1e-05,2.8356e-06
5e-05,1.4178e-05
0.0001,2.64656e-05
0.0003,9.73556e-05
0.0006,0.0001994373
0.0009,0.0002665465
0.001,0.0003185326
0.003,0.0009253513
0.006,0.0018970174
0.009,0.0027618758
0.01,0.0031049836
0.03,0.0093092795
0.06,0.0186592026
0.09,0.0276121415
0.1,0.0298664447
0.2,0.0592272071
0.3,0.0874310441
0.4,0.1160734541
0.5,0.1422195897
0.6,0.168109576
0.7,0.1984268813
0.8,0.2203252859
0.9,0.2388190785
1.0,0.2569347908
3.0,0.6139880517
5.0,0.8360562873
10.0,1.1609141296
20.0,1.469751769
30.0,1.6555328131
