p,q
1e-05,2.363e-05
5e-05,0.0001332733
0.0001,0.0002249577
0.0003,0.000702284
0.0006,0.0014178007
0.0009,0.0020198934
0.001,0.0023129056
0.003,0.0067336082
0.006,0.0135437776
0.009,0.0203671799
0.01,0.0230326452
0.03,0.0666489212
0.06,0.1318403433
0.09,0.1948871055
0.1,0.2068656311
0.2,0.3701376711
0.3,0.4941148916
0.4,0.6119152271
0.5,0.6917629277
0.6,0.7764992053
0.7,0.8141673347
0.8,0.8825582604
0.9,0.9218077102
1.0,0.9718286646
3.0,1.3239744446
5.0,1.4629831883
10.0,1.6460146443
20.0,1.8555183299
30.0,1.9593986979
