p,q
1e-05,5.7683e-06
5e-05,1.03829e-05
0.0001,1.61511e-05
0.0003,4.96071e-05
0.0006,7.26802e-05
0.0009,0.0001222873
0.001,0.0001211336
0.003,0.0003876275
0.006,0.0008248621
0.009,0.0012044141
0.01,0.0013855376
0.03,0.0040689352
0.06,0.0081597898
0.09,0.0121064378
0.1,0.0134804389
0.2,0.0272815934
0.3,0.0403051855
0.4,0.0535548937
0.5,0.0664873473
0.6,0.0796966776
0.7,0.0932578722
0.8,0.1074685736
0.9,0.1174372918
1.0,0.1312557511
3.0,0.3762524889
5.0,0.5833344108
10.0,1.0465838955
20.0,1.7224562989
30.0,2.1665424485
