p,q
1e-05,2.49052e-05
5e-05,8.18313e-05
0.0001,0.0001956836
0.0003,0.0005514719
0.0006,0.0011741016
0.0009,0.0018394258
0.001,0.0020315515
0.003,0.0061658122
0.006,0.0118406364
0.009,0.0181452061
0.01,0.0201376209
0.03,0.0594949286
0.06,0.120676294
0.09,0.1781218817
0.1,0.2012232195
0.2,0.3912746847
0.3,0.5631880597
0.4,0.7446080994
0.5,0.922733539
0.6,1.0563747606
0.7,1.2224425329
0.8,1.3503377726
0.9,1.453036081
1.0,1.568734896
3.0,2.6592439913
5.0,2.941878702
10.0,3.1975553292
20.0,3.3314206975
30.0,3.3656510951
