p,q
1e-05,5.5381e-06
5e-05,4.84582e-05
0.0001,9.6224e-05
0.0003,0.0002838263
0.0006,0.0005607301
0.0009,0.0008362493
0.001,0.0009359346
0.003,0.002856262
0.006,0.0055858406
0.009,0.0082233486
0.01,0.0091966653
0.03,0.0275560751
0.06,0.0542315963
0.09,0.0803934611
0.1,0.089877414
0.2,0.171404796
0.3,0.2401371486
0.4,0.3117617607
0.5,0.3644634639
0.6,0.4324398693
0.7,0.4851007292
0.8,0.5380011109
0.9,0.5883664388
1.0,0.630572106
3.0,1.1425408045
5.0,1.3779283618
10.0,1.6303669588
20.0,1.8472372711
30.0,1.9621862415
