p,q
1e-05,6.20099e-05
5e-05,0.0003882361
0.0001,0.0007863578
0.0003,0.0023276191
0.0006,0.0045357118
0.0009,0.0068516479
0.001,0.0076955222
0.003,0.023552989
0.006,0.0451495198
0.009,0.0681426221
0.01,0.0769606138
0.03,0.2092646407
0.06,0.3686589187
0.09,0.5001514244
0.1,0.5352328682
0.2,0.8230119657
0.3,0.9892947381
0.4,1.1122038113
0.5,1.1980848681
0.6,1.2758057776
0.7,1.3261075137
0.8,1.3668848841
0.9,1.4056878224
1.0,1.4380192606
3.0,1.7254999916
5.0,1.8488862716
10.0,1.9630402617
20.0,2.0404070855
30.0,2.0929241039
