p,q
1e-05,0.0
5e-05,1.89538e-05
0.0001,3.31691e-05
0.0003,0.0001421533
0.0006,0.000246399
0.0009,0.0003695985
0.001,0.0003790754
0.003,0.0010235036
0.006,0.0022318064
0.009,0.0034780168
0.01,0.0040561068
0.03,0.0121161974
0.06,0.0237490737
0.09,0.0345242919
0.1,0.0390495045
0.2,0.07611834
0.3,0.1162245171
0.4,0.1547243622
0.5,0.1929399008
0.6,0.236462495
0.7,0.270484512
0.8,0.3108607803
0.9,0.3468682047
1.0,0.3816388956
3.0,1.1036495913
5.0,1.7715662277
10.0,3.217407181
20.0,5.7315963291
30.0,7.7926766538
