p,q
1e-05,7.00707e-05
5e-05,0.0004685978
0.0001,0.0009831795
0.0003,0.0028531912
0.0006,0.0057260898
0.0009,0.0087106636
0.001,0.0099675568
0.003,0.0296311464
0.006,0.0594046239
0.009,0.0872292601
0.01,0.0963625376
0.03,0.2763872988
0.06,0.5047389444
0.09,0.7061965803
0.1,0.772698052
0.2,1.2659497814
0.3,1.6194082787
0.4,1.8374069787
0.5,2.0291860995
0.6,2.1683333672
0.7,2.3203955405
0.8,2.4154092172
0.9,2.4729263116
1.0,2.5913370322
3.0,3.3594235565
5.0,3.6861500825
10.0,4.0484309187
20.0,4.3088464777
30.0,4.4176049597
