p,q
1e-05,1.22761e-05
5e-05,6.62912e-05
0.0001,0.0001252167
0.0003,0.0003142694
0.0006,0.0006825539
0.0009,0.0010115546
0.001,0.0011686893
0.003,0.0032138957
0.006,0.0063025747
0.009,0.0094182612
0.01,0.0104985622
0.03,0.0318075009
0.06,0.0630331123
0.09,0.0918967928
0.1,0.1021105483
0.2,0.1971500351
0.3,0.2866186057
0.4,0.363150571
0.5,0.4431689624
0.6,0.5119424018
0.7,0.5818010527
0.8,0.6514780166
0.9,0.7088444587
1.0,0.7597487362
3.0,1.4548193563
5.0,1.8344371529
10.0,2.3260576184
20.0,2.7372324824
30.0,2.9511394603
