p,q
1e-05,1.28647e-05
5e-05,6.43234e-05
0.0001,0.0001511601
0.0003,0.0005531817
0.0006,0.0010130943
0.0009,0.0014794393
0.001,0.0016756258
0.003,0.004756719
0.006,0.0101245109
0.009,0.015051687
0.01,0.0165922336
0.03,0.0488600918
0.06,0.0964112014
0.09,0.1438368803
0.1,0.1577050158
0.2,0.307620462
0.3,0.4622829787
0.4,0.6006234203
0.5,0.7277812302
0.6,0.8627479069
0.7,0.9660417173
0.8,1.0696893067
0.9,1.1920711006
1.0,1.2651939973
3.0,2.668036959
5.0,3.3055852551
10.0,4.1679793831
20.0,4.9048463004
30.0,5.2753204206
