p,q
1e-05,5.14279e-05
5e-05,0.0002811389
0.0001,0.0006182771
0.0003,0.0017074047
0.0006,0.0035748072
0.0009,0.0051542137
0.001,0.0056262071
0.003,0.0172706159
0.006,0.0341823796
0.009,0.0487890327
0.01,0.054680379
0.03,0.1496527665
0.06,0.2610192108
0.09,0.355921885
0.1,0.3734622114
0.2,0.535929656
0.3,0.6394607812
0.4,0.7183179653
0.5,0.7485941137
0.6,0.7948563246
0.7,0.8404145453
0.8,0.8653959106
0.9,0.9032216679
1.0,0.9206957095
3.0,1.1947547381
5.0,1.3488097289
10.0,1.5542640016
20.0,1.7143189085
30.0,1.7882630184
