p,q
1e-05,0.0
5e-05,5.7609e-06
0.0001,1.72826e-05
0.0003,0.0001267391
0.0006,0.0002073912
0.0009,0.0003110869
0.001,0.0004378259
0.003,0.0011521735
0.006,0.0024310862
0.009,0.0035026075
0.01,0.00404989
0.03,0.0121784743
0.06,0.0235504271
0.09,0.0356079231
0.1,0.0401532477
0.2,0.0771322573
0.3,0.118719961
0.4,0.1548290796
0.5,0.1936285234
0.6,0.2345537273
0.7,0.2739926274
0.8,0.3110753326
0.9,0.3547369487
1.0,0.3934960665
3.0,1.1338943016
5.0,1.8469629805
10.0,3.4282232222
20.0,6.1171370133
30.0,8.2244739301
