p,q
1e-05,5.7609e-06
5e-05,3.45652e-05
0.0001,9.21739e-05
0.0003,0.0002938043
0.0006,0.0005184781
0.0009,0.0009274997
0.001,0.0010254344
0.003,0.003352825
0.006,0.0062851066
0.009,0.0098107576
0.01,0.0104271705
0.03,0.0331883587
0.06,0.0655529133
0.09,0.0975314897
0.1,0.1094276815
0.2,0.2176225372
0.3,0.3273094578
0.4,0.4405911597
0.5,0.5468215596
0.6,0.6518018512
0.7,0.7477030154
0.8,0.8691133016
0.9,0.970925116
1.0,1.0773917115
3.0,3.1708449372
5.0,5.2683307703
10.0,9.4721799335
20.0,13.787248408
30.0,15.6511829048
