p,q
1e-05,0.0
5e-05,1.84757e-05
0.0001,3.07928e-05
0.0003,0.0001416468
0.0006,0.0002525008
0.0009,0.0004680503
0.001,0.0006220142
0.003,0.0015581149
0.006,0.0030731198
0.009,0.0051608706
0.01,0.0053517859
0.03,0.0161662116
0.06,0.0312731514
0.09,0.0481599142
0.1,0.0522245617
0.2,0.1068694362
0.3,0.1594758284
0.4,0.2163747347
0.5,0.2679341723
0.6,0.3176891527
0.7,0.3731962252
0.8,0.4289742741
0.9,0.4812357872
1.0,0.5227075087
3.0,1.5818376321
5.0,2.5618179834
10.0,4.9173612652
20.0,9.2032795429
30.0,12.7157446716
