p,q
1e-05,9.9098e-06
5e-05,3.53921e-05
0.0001,7.92782e-05
0.0003,0.000236419
0.0006,0.0004629283
0.0009,0.0007135042
0.001,0.0008465783
0.003,0.0024958489
0.006,0.0050200114
0.009,0.00752577
0.01,0.0083794268
0.03,0.0246073994
0.06,0.0490109404
0.09,0.0727703457
0.1,0.0804306056
0.2,0.1594285402
0.3,0.2372174816
0.4,0.3083201529
0.5,0.3782860309
0.6,0.4407487897
0.7,0.5106184013
0.8,0.5750985082
0.9,0.6345755919
1.0,0.6895564669
3.0,1.6165172855
5.0,2.2037595212
10.0,3.0803998928
20.0,3.9245064567
30.0,4.4089021645
