p,q
1e-05,5.94587e-05
5e-05,0.0003015404
0.0001,0.0006243161
0.0003,0.0017044822
0.0006,0.0037303243
0.0009,0.0055324886
0.001,0.0059968326
0.003,0.0182906225
0.006,0.0357842155
0.009,0.0535722705
0.01,0.059417625
0.03,0.1750760828
0.06,0.3409134192
0.09,0.4903260033
0.1,0.542955429
0.2,0.9535062878
0.3,1.3147290933
0.4,1.606529643
0.5,1.8579563334
0.6,2.04675463
0.7,2.2141435549
0.8,2.3622027461
0.9,2.5005744196
1.0,2.5913366786
3.0,3.6448142425
5.0,4.083126642
10.0,4.6482644057
20.0,5.238008153
30.0,5.5216671106
