p,q
1e-05,1.09988e-05
5e-05,3.51962e-05
0.0001,5.27944e-05
0.0003,0.0001671821
0.0006,0.0003827591
0.0009,0.000580738
0.001,0.0006115347
0.003,0.0018983973
0.006,0.0037396007
0.009,0.0055456078
0.01,0.0061087477
0.03,0.0177565039
0.06,0.0368526647
0.09,0.0541098219
0.1,0.0574270677
0.2,0.1156548499
0.3,0.1681170477
0.4,0.2196311468
0.5,0.2675530295
0.6,0.3067594429
0.7,0.3555986277
0.8,0.389560801
0.9,0.4373243006
1.0,0.4702085891
3.0,0.9533473975
5.0,1.2058452347
10.0,1.5926343317
20.0,1.9191014701
30.0,2.1098475014
