p,q
1e-05,6.15934e-05
5e-05,0.0002837697
0.0001,0.0005411422
0.0003,0.0016080283
0.0006,0.0033370437
0.0009,0.00524424
0.001,0.0057919815
0.003,0.0173297495
0.006,0.0346748973
0.009,0.0515009005
0.01,0.05703111
0.03,0.1637615128
0.06,0.2945903424
0.09,0.409338889
0.1,0.4484595116
0.2,0.7313976982
0.3,0.8896465997
0.4,1.0346133196
0.5,1.1406287988
0.6,1.2305287989
0.7,1.279711147
0.8,1.3243663785
0.9,1.3727810086
1.0,1.4448277151
3.0,1.8168211921
5.0,1.9986911712
10.0,2.174907754
20.0,2.3717735319
30.0,2.4381822405
