p,q
1e-05,2.0902e-06
5e-05,1.25411e-05
0.0001,2.50821e-05
0.0003,8.98777e-05
0.0006,0.000198567
0.0009,0.0003114367
0.001,0.0003302483
0.003,0.0009154984
0.006,0.0018978826
0.009,0.002790389
0.01,0.002988956
0.03,0.0093326494
0.06,0.0181741066
0.09,0.0274942149
0.1,0.0302344396
0.2,0.059963056
0.3,0.0900888063
0.4,0.1194976252
0.5,0.1512913384
0.6,0.1819354531
0.7,0.2086354
0.8,0.2355757175
0.9,0.2650974061
1.0,0.2926752282
3.0,0.8162713453
5.0,1.2720474235
10.0,2.242339881
20.0,3.5649320137
30.0,4.351700482
