p,q
1e-05,2.2992e-05
5e-05,5.8525e-05
0.0001,0.0001024188
0.0003,0.0003887733
0.0006,0.0007043903
0.0009,0.001132877
0.001,0.0011642297
0.003,0.0036180999
0.006,0.006993739
0.009,0.0108647506
0.01,0.0118868481
0.03,0.0358716525
0.06,0.0710012914
0.09,0.1093853391
0.1,0.1188287679
0.2,0.2353228059
0.3,0.3517081545
0.4,0.4676211227
0.5,0.581433461
0.6,0.6874389806
0.7,0.7932940072
0.8,0.8856631989
0.9,0.9894029644
1.0,1.0839647538
3.0,2.77623222
5.0,3.8254163947
10.0,5.1523560998
20.0,6.1293057775
30.0,6.5301059669
