p,q
1e-05,3.3442e-06
5e-05,2.78683e-05
0.0001,5.46219e-05
0.0003,0.0001003259
0.0006,0.0002474705
0.0009,0.0003098955
0.001,0.000386812
0.003,0.0011258794
0.006,0.0021982517
0.009,0.0032160021
0.01,0.0036507477
0.03,0.0106367738
0.06,0.021484232
0.09,0.0324030331
0.1,0.0356000848
0.2,0.0718010101
0.3,0.1083274373
0.4,0.1417125493
0.5,0.1800359246
0.6,0.2123486644
0.7,0.2455030269
0.8,0.2826503598
0.9,0.3131193326
1.0,0.3500047035
3.0,0.986841127
5.0,1.5622023039
10.0,2.7300391399
20.0,4.2248023804
30.0,5.0974325141
