p,q
1e-05,1.25513e-05
5e-05,5.57836e-05
0.0001,0.0001031996
0.0003,0.0003360961
0.0006,0.0006763759
0.0009,0.0009901585
0.001,0.0010752285
0.003,0.0032131341
0.006,0.0063941927
0.009,0.0096519536
0.01,0.0106713985
0.03,0.0319179689
0.06,0.0644105086
0.09,0.0952546436
0.1,0.106595445
0.2,0.2015879058
0.3,0.294272321
0.4,0.3874308966
0.5,0.4648738437
0.6,0.5398804429
0.7,0.6066743049
0.8,0.6907303952
0.9,0.75124721
1.0,0.8062972342
3.0,1.6972125781
5.0,2.1880996989
10.0,2.8421663373
20.0,3.4382668649
30.0,3.7643469822
