p,q
1e-05,6.69403e-05
5e-05,0.0004616091
0.0001,0.0010612826
0.0003,0.0029202703
0.0006,0.0060343886
0.0009,0.0089086374
0.001,0.0100773034
0.003,0.0301998347
0.006,0.0585978597
0.009,0.0875788232
0.01,0.0965139579
0.03,0.2816722053
0.06,0.5183995816
0.09,0.7140841902
0.1,0.7782771428
0.2,1.261672529
0.3,1.5932570909
0.4,1.8301573963
0.5,2.0315389028
0.6,2.1727159826
0.7,2.284048848
0.8,2.3990090406
0.9,2.4752331165
1.0,2.5805580905
3.0,3.3453397911
5.0,3.6366304799
10.0,4.0320398228
20.0,4.3334161824
30.0,4.5056633207
