p,q
1e-05,0.0001412714
5e-05,0.0005691221
0.0001,0.0010790447
0.0003,0.0033864782
0.0006,0.0065684491
0.0009,0.0098499828
0.001,0.0110406992
0.003,0.0330171531
0.006,0.0668321535
0.009,0.0995412004
0.01,0.1117161074
0.03,0.3391429404
0.06,0.647788741
0.09,1.0070756429
0.1,1.1076609065
0.2,1.99546982
0.3,2.5005475001
0.4,2.8588508837
0.5,3.0562272637
0.6,3.217652081
0.7,3.2922474364
0.8,3.3776372751
0.9,3.4413883658
1.0,3.4783947553
3.0,3.7909181205
5.0,3.8778794357
10.0,3.9914253446
20.0,4.1801464945
30.0,4.3843187034
