p,q
1e-05,2.7411e-06
5e-05,1.37057e-05
0.0001,6.0305e-05
0.0003,9.86809e-05
0.0006,0.0002055851
0.0009,0.0003426419
0.001,0.0003810178
0.003,0.0012526987
0.006,0.0025821492
0.009,0.0038485535
0.01,0.004284394
0.03,0.0127572423
0.06,0.0257968215
0.09,0.0378852269
0.1,0.0425259685
0.2,0.0831194368
0.3,0.1248778875
0.4,0.1682947248
0.5,0.209230835
0.6,0.2483303847
0.7,0.2898174631
0.8,0.3350790843
0.9,0.3749763043
1.0,0.4085579493
3.0,1.1247205866
5.0,1.7474269671
10.0,2.9739615313
20.0,4.4650402938
30.0,5.3551087593
