p,q
1e-05,4.38582e-05
5e-05,8.77163e-05
0.0001,0.0001946206
0.0003,0.0005948263
0.0006,0.0012198051
0.0009,0.0018530073
0.001,0.0020147342
0.003,0.0060770963
0.006,0.0116580472
0.009,0.0177324024
0.01,0.0196731259
0.03,0.0578132784
0.06,0.1141298971
0.09,0.169739303
0.1,0.1964324757
0.2,0.3883640077
0.3,0.5823541321
0.4,0.7679536422
0.5,0.9535038119
0.6,1.0906510196
0.7,1.265047511
0.8,1.4556907095
0.9,1.601360106
1.0,1.7598470498
3.0,3.9265772154
5.0,4.9581951516
10.0,6.1373683851
20.0,7.132819786
30.0,7.5841038066
