p,q
1e-05,1.14652e-05
5e-05,4.01283e-05
0.0001,7.73904e-05
0.0003,0.0001891764
0.0006,0.0004471442
0.0009,0.0006707164
0.001,0.000759572
0.003,0.0021239352
0.006,0.0041905442
0.009,0.0064291317
0.01,0.0075269282
0.03,0.0217438222
0.06,0.0428885857
0.09,0.0640190177
0.1,0.0715488121
0.2,0.1374080004
0.3,0.2037086002
0.4,0.2662514686
0.5,0.3301930959
0.6,0.3853036244
0.7,0.4416437995
0.8,0.5031490639
0.9,0.5541521712
1.0,0.6012857609
3.0,1.3305493646
5.0,1.8179451928
10.0,2.4999232924
20.0,3.1091000027
30.0,3.4566543339
