p,q
1e-05,5.73262e-05
5e-05,0.0002465026
0.0001,0.0005789945
0.0003,0.0016825235
0.0006,0.0034367048
0.0009,0.0051306936
0.001,0.0055893031
0.003,0.0171806578
0.006,0.0351036897
0.009,0.0523130106
0.01,0.0576844742
0.03,0.1709753483
0.06,0.3247413757
0.09,0.4641729904
0.1,0.5087928269
0.2,0.8830238985
0.3,1.1503301689
0.4,1.3787864834
0.5,1.605640531
0.6,1.7308007918
0.7,1.8925265601
0.8,1.9873985308
0.9,2.0898805526
1.0,2.207705928
3.0,3.1434011258
5.0,3.4777761669
10.0,3.8345399498
20.0,4.1229221924
30.0,4.2255675938
