p,q
1e-05,2.55475e-05
5e-05,9.74e-05
0.0001,0.0001916065
0.0003,0.0006690262
0.0006,0.0012693933
0.0009,0.0018346326
0.001,0.0020501899
0.003,0.0060930878
0.006,0.0126396445
0.009,0.0187934077
0.01,0.0209425944
0.03,0.0615408258
0.06,0.1197077799
0.09,0.1823471499
0.1,0.1962561877
0.2,0.3726363907
0.3,0.5399679751
0.4,0.6845702342
0.5,0.7889239438
0.6,0.9071675304
0.7,0.9963715499
0.8,1.1190572147
0.9,1.1803122275
1.0,1.2576573991
3.0,1.865000619
5.0,2.0120777959
10.0,2.1612722249
20.0,2.2315982105
30.0,2.2701781864
