p,q
1e-05,5.7419e-06
5e-05,1.72256e-05
0.0001,3.63651e-05
0.0003,9.95257e-05
0.0006,0.000172256
0.0009,0.0002507281
0.001,0.0002679537
0.003,0.0009646334
0.006,0.0018584504
0.009,0.0030489305
0.01,0.0032881749
0.03,0.0099468246
0.06,0.0198572841
0.09,0.0286040589
0.1,0.0316950964
0.2,0.0664180698
0.3,0.094926431
0.4,0.126211941
0.5,0.1580907772
0.6,0.1898739155
0.7,0.2174444387
0.8,0.2394989433
0.9,0.270629423
1.0,0.2997502498
3.0,0.7485057319
5.0,1.0437562733
10.0,1.5278452805
20.0,1.8965036557
30.0,2.0672896971
