p,q
1e-05,8.6128e-06
5e-05,3.34942e-05
0.0001,6.22035e-05
0.0003,0.0001827827
0.0006,0.0003665224
0.0009,0.0005866272
0.001,0.0006593575
0.003,0.0018986435
0.006,0.0037350834
0.009,0.0056997583
0.01,0.006563909
0.03,0.0201587321
0.06,0.0392877563
0.09,0.0586263586
0.1,0.0652027083
0.2,0.1307413158
0.3,0.1915773356
0.4,0.2476849293
0.5,0.3156025829
0.6,0.3793516424
0.7,0.4458855065
0.8,0.4825683699
0.9,0.5355944959
1.0,0.5947232677
3.0,1.4904944468
5.0,1.9766677511
10.0,2.5744686586
20.0,2.958972668
30.0,3.149339427
