p,q
1e-05,2.8588e-06
5e-05,2.00118e-05
0.0001,4.28824e-05
0.0003,0.000117212
0.0006,0.000251577
0.0009,0.0003316242
0.001,0.0003816537
0.003,0.0011306669
0.006,0.0021369747
0.009,0.0033162417
0.01,0.0035678187
0.03,0.0110293625
0.06,0.0218528892
0.09,0.0323519389
0.1,0.0360183872
0.2,0.0715150381
0.3,0.1074305074
0.4,0.1418207914
0.5,0.1746773137
0.6,0.2076439009
0.7,0.2410193006
0.8,0.273655693
0.9,0.3032359972
1.0,0.3311310216
3.0,0.8217075157
5.0,1.1790325585
10.0,1.7683415726
20.0,2.3851296516
30.0,2.7429349776
