p,q
1e-05,1.85824e-05
5e-05,0.0001200708
0.0001,0.0001986886
0.0003,0.000627513
0.0006,0.001379385
0.0009,0.0019468626
0.001,0.0021855748
0.003,0.0064809655
0.006,0.0130734252
0.009,0.0188625541
0.01,0.0213668883
0.03,0.0637333054
0.06,0.123984557
0.09,0.1849791042
0.1,0.2015989068
0.2,0.3903931184
0.3,0.54451831
0.4,0.6763189056
0.5,0.8108825595
0.6,0.9239635426
0.7,1.0256435153
0.8,1.1132180256
0.9,1.2099579417
1.0,1.3003312456
3.0,2.0799825272
5.0,2.4040565293
10.0,2.7873697575
20.0,3.1606470664
30.0,3.3594228795
