p,q
1e-05,2.6102e-06
5e-05,2.87122e-05
0.0001,7.56959e-05
0.0003,0.0002296978
0.0006,0.0004124119
0.0009,0.0006186179
0.001,0.0006760423
0.003,0.0021534167
0.006,0.0042702906
0.009,0.006496793
0.01,0.0069039845
0.03,0.0218238995
0.06,0.043245828
0.09,0.0643571424
0.1,0.0718197101
0.2,0.1406037552
0.3,0.2145246779
0.4,0.2786129695
0.5,0.3441107701
0.6,0.4048814948
0.7,0.4830779286
0.8,0.5404762722
0.9,0.6100668697
1.0,0.6864544335
3.0,1.7175991019
5.0,2.5880336286
10.0,4.1242236863
20.0,5.9148797341
30.0,6.9481099539
