p,q
1e-05,3.13224e-05
5e-05,0.0001801039
0.0001,0.0004306833
0.0003,0.0010362502
0.0006,0.0023100288
0.0009,0.0035707564
0.001,0.0038422175
0.003,0.0115449238
0.006,0.023147272
0.009,0.0340135432
0.01,0.0379993218
0.03,0.114212002
0.06,0.2211102178
0.09,0.3354631707
0.1,0.3650028275
0.2,0.7218696552
0.3,1.0166293347
0.4,1.3127123867
0.5,1.5907798239
0.6,1.8351130095
0.7,2.0726701105
0.8,2.3248573942
0.9,2.5600078889
1.0,2.757070315
3.0,5.3278113548
5.0,6.5476762435
10.0,7.9977661755
20.0,9.1502460874
30.0,9.6767447275
