p,q
1e-05,3.74757e-05
5e-05,6.74563e-05
0.0001,0.0001911263
0.0003,0.000554641
0.0006,0.0012254569
0.0009,0.0018100786
0.001,0.0016901562
0.003,0.0056438474
0.006,0.0117823747
0.009,0.0174861833
0.01,0.0191988249
0.03,0.0564497169
0.06,0.1131917446
0.09,0.1687607815
0.1,0.188941471
0.2,0.3798504186
0.3,0.5521901339
0.4,0.7255604322
0.5,0.8860203358
0.6,1.0463753073
0.7,1.2029302382
0.8,1.3188352269
0.9,1.4494531936
1.0,1.5814090445
3.0,3.0615286414
5.0,3.7125760469
10.0,4.4863152987
20.0,5.1418785316
30.0,5.4934909752
