p,q
1e-05,6.6859e-06
5e-05,1.60461e-05
0.0001,5.61613e-05
0.0003,0.0001524378
0.0006,0.0002955155
0.0009,0.0004265585
0.001,0.0004680109
0.003,0.0013144421
0.006,0.0028976562
0.009,0.0043351183
0.01,0.0045851698
0.03,0.0140911401
0.06,0.0284965161
0.09,0.0423790571
0.1,0.0459680322
0.2,0.0937372379
0.3,0.1363703581
0.4,0.1766072623
0.5,0.2140147063
0.6,0.2564499247
0.7,0.292838442
0.8,0.3350637241
0.9,0.3633984422
1.0,0.4104937121
3.0,0.9653447229
5.0,1.3654953937
10.0,1.9688804737
20.0,2.5518723123
30.0,2.9004307969
