p,q
1e-05,0.0
5e-05,3.2834e-06
0.0001,1.64169e-05
0.0003,3.7759e-05
0.0006,0.0001149185
0.0009,0.0001723778
0.001,0.000224912
0.003,0.0006304103
0.006,0.0011656024
0.009,0.0018698889
0.01,0.0020094329
0.03,0.0061629175
0.06,0.0122224082
0.09,0.0185232279
0.1,0.0201961136
0.2,0.0413575431
0.3,0.0598643541
0.4,0.0761401036
0.5,0.0980632788
0.6,0.1158378945
0.7,0.1347042364
0.8,0.1525067609
0.9,0.1706359824
1.0,0.1820030683
3.0,0.4512637887
5.0,0.6260072883
10.0,0.9380472583
20.0,1.2417983178
30.0,1.3823289244
