p,q
1e-05,3.8246e-06
5e-05,6.11931e-05
0.0001,0.0001013511
0.0003,0.0002906672
0.0006,0.0006195802
0.0009,0.0009542299
0.001,0.0010192476
0.003,0.0032030765
0.006,0.0062971527
0.009,0.0092267725
0.01,0.0099113704
0.03,0.0306271479
0.06,0.0611969273
0.09,0.0909233892
0.1,0.0994349673
0.2,0.1913144988
0.3,0.2809834294
0.4,0.3702125346
0.5,0.4430151162
0.6,0.5133068684
0.7,0.5899971244
0.8,0.6402137143
0.9,0.6882369139
1.0,0.7607201441
3.0,1.5418156791
5.0,1.9543375074
10.0,2.4930050923
20.0,2.916178345
30.0,3.1129944862
