p,q
1e-05,0.0001453336
5e-05,0.0006176679
0.0001,0.0011875286
0.0003,0.0034076909
0.0006,0.0065591357
0.0009,0.0100662654
0.001,0.0112690923
0.003,0.0347270858
0.006,0.0672703427
0.009,0.0975284197
0.01,0.1086254065
0.03,0.2977044447
0.06,0.5407232907
0.09,0.7252969868
0.1,0.781619501
0.2,1.2278759394
0.3,1.5397121662
0.4,1.756370171
0.5,1.9305792853
0.6,2.0965139447
0.7,2.1767075058
0.8,2.2569832951
0.9,2.3482757552
1.0,2.3901241884
3.0,2.9831178625
5.0,3.1261605647
10.0,3.3234987595
20.0,3.4535532256
30.0,3.5226039052
