p,q
1e-05,1.99994e-05
5e-05,0.0001639951
0.0001,0.0003459897
0.0003,0.0010639682
0.0006,0.0020239395
0.0009,0.0029919106
0.001,0.0033019013
0.003,0.0101236974
0.006,0.0201113988
0.009,0.0304390901
0.01,0.0343029746
0.03,0.1014109687
0.06,0.2025719449
0.09,0.3000930299
0.1,0.3291201622
0.2,0.6444487367
0.3,0.9269322929
0.4,1.1947442877
0.5,1.4485767003
0.6,1.6706820613
0.7,1.8782858558
0.8,2.0971213145
0.9,2.2868776425
1.0,2.4578345324
3.0,4.2405312455
5.0,4.8944476991
10.0,5.6322156463
20.0,6.2355316125
30.0,6.5846531768
