p,q
1e-05,6.6721e-06
5e-05,2.51488e-05
0.0001,5.23505e-05
0.0003,0.0001437072
0.0006,0.0002797159
0.0009,0.0004624294
0.001,0.0005040018
0.003,0.0014971214
0.006,0.0028910816
0.009,0.0043158362
0.01,0.0047967422
0.03,0.0146068139
0.06,0.028453006
0.09,0.04359205
0.1,0.0477754702
0.2,0.0945270264
0.3,0.1432545571
0.4,0.1891608067
0.5,0.2301774178
0.6,0.27460143
0.7,0.3199934131
0.8,0.3658822126
0.9,0.4154955957
1.0,0.4538264212
3.0,1.296202305
5.0,2.0408434117
10.0,3.5868745856
20.0,5.6971706773
30.0,7.0974806621
