p,q
1e-05,2.51488e-05
5e-05,0.0001031613
0.0001,0.0002119682
0.0003,0.0005958718
0.0006,0.0011932833
0.0009,0.0017737579
0.001,0.0018943693
0.003,0.0057251936
0.006,0.0112989813
0.009,0.0170796049
0.01,0.019347613
0.03,0.0588311757
0.06,0.1149041991
0.09,0.1694015752
0.1,0.1860875249
0.2,0.3614775858
0.3,0.5405624625
0.4,0.7234006641
0.5,0.8919661711
0.6,1.0564837533
0.7,1.2285372402
0.8,1.3932262446
0.9,1.5508150851
1.0,1.7077741799
3.0,4.315105866
5.0,6.047661845
10.0,8.436640652
20.0,10.39920571
30.0,11.297185
