p,q
1e-05,6.2982e-06
5e-05,4.40875e-05
0.0001,0.0001700518
0.0003,0.000377893
0.0006,0.0007337421
0.0009,0.0010423547
0.001,0.0011021878
0.003,0.0032152392
0.006,0.0067800294
0.009,0.0104865294
0.01,0.0113304903
0.03,0.0337615861
0.06,0.0673184801
0.09,0.0984757539
0.1,0.109771604
0.2,0.2153769383
0.3,0.310549278
0.4,0.4091667417
0.5,0.4935502377
0.6,0.5852239184
0.7,0.6653781624
0.8,0.7516920615
0.9,0.8255040022
1.0,0.8910400872
3.0,1.8097671312
5.0,2.36629008
10.0,3.063634837
20.0,3.6519795214
30.0,3.9700016325
