p,q
1e-05,8.954e-06
5e-05,1.3431e-05
0.0001,2.38773e-05
0.0003,7.90936e-05
0.0006,0.0001954955
0.0009,0.0003029434
0.001,0.0003208514
0.003,0.0010073242
0.006,0.0021146346
0.009,0.0031100201
0.01,0.0033786398
0.03,0.0101165192
0.06,0.0201270828
0.09,0.0301615238
0.1,0.0339535396
0.2,0.0659461548
0.3,0.0997803079
0.4,0.1257274858
0.5,0.1581095997
0.6,0.1851819961
0.7,0.2117589382
0.8,0.2390148914
0.9,0.2641636717
1.0,0.2900616027
3.0,0.666703836
5.0,0.9360623157
10.0,1.3311676815
20.0,1.7270087671
30.0,1.9444296132
