p,q
1e-05,2.38773e-05
5e-05,0.0001417715
0.0001,0.0002402655
0.0003,0.0007536277
0.0006,0.0014266695
0.0009,0.0021146346
0.001,0.0023563924
0.003,0.0070184378
0.006,0.0138160104
0.009,0.0205300125
0.01,0.0233296275
0.03,0.069375534
0.06,0.1309715408
0.09,0.1960193117
0.1,0.2190430111
0.2,0.3954605409
0.3,0.5389572248
0.4,0.6595973506
0.5,0.7554155168
0.6,0.8299112421
0.7,0.9139743085
0.8,0.9964316255
0.9,1.0443205621
1.0,1.095050899
3.0,1.6208099389
5.0,1.8389023345
10.0,2.1316575966
20.0,2.3593307642
30.0,2.4552936866
