p,q
1e-05,2.9743e-06
5e-05,1.93333e-05
0.0001,3.27178e-05
0.0003,0.0001055894
0.0006,0.0001814353
0.0009,0.0003004093
0.001,0.0003732809
0.003,0.0009770739
0.006,0.0019526607
0.009,0.0028390169
0.01,0.0032256824
0.03,0.0097633033
0.06,0.0195370168
0.09,0.0291917563
0.1,0.0316009797
0.2,0.0637046245
0.3,0.0954290397
0.4,0.1247784365
0.5,0.1515237901
0.6,0.1795719089
0.7,0.2094120735
0.8,0.2356592235
0.9,0.2595328423
1.0,0.2844802015
3.0,0.655176394
5.0,0.9052760859
10.0,1.2938258133
20.0,1.6770767364
30.0,1.8966982657
