p,q
1e-05,1.80138e-05
5e-05,0.0001471127
0.0001,0.0003542714
0.0003,0.0009547314
0.0006,0.0018584237
0.0009,0.0029482587
0.001,0.003071353
0.003,0.009205052
0.006,0.0188274237
0.009,0.0279183883
0.01,0.0313320034
0.03,0.0922636832
0.06,0.1830472325
0.09,0.272032404
0.1,0.3035055156
0.2,0.566966353
0.3,0.8205976599
0.4,1.0241896317
0.5,1.1860886626
0.6,1.386825447
0.7,1.5436746092
0.8,1.6817804121
0.9,1.8630142553
1.0,1.9914106198
3.0,3.4956950521
5.0,4.1084014465
10.0,4.7698591894
20.0,5.2070361106
30.0,5.3639243027
