p,q
1e-05,0.0004593519
5e-05,0.0021346353
0.0001,0.0044794317
0.0003,0.0130720145
0.0006,0.0251082354
0.0009,0.0380001119
0.001,0.0415608398
0.003,0.1287476336
0.006,0.2525204559
0.009,0.3715466419
0.01,0.4042296804
0.03,1.0926871076
0.06,1.9095258879
0.09,2.5051582018
0.1,2.6857495529
0.2,3.6890251624
0.3,4.2207355057
0.4,4.5491991417
0.5,4.7694478742
0.6,4.9271707057
0.7,5.012841338
0.8,5.1044475175
0.9,5.1687627894
1.0,5.1892835103
3.0,5.5750730637
5.0,5.6469030927
10.0,5.6990770632
20.0,5.7275869046
30.0,5.7392358288
