p,q
1e-05,0.0
5e-05,7.1158e-06
0.0001,4.62525e-05
0.0003,0.0001280838
0.0006,0.0001707784
0.0009,0.0002917465
0.001,0.0003237674
0.003,0.001038902
0.006,0.0019141413
0.009,0.0028676541
0.01,0.0031914215
0.03,0.0096134013
0.06,0.0198743375
0.09,0.0290358876
0.1,0.0329282122
0.2,0.064280282
0.3,0.0970092527
0.4,0.1274469464
0.5,0.1610440407
0.6,0.1882120394
0.7,0.2197918137
0.8,0.2510940732
0.9,0.2840294011
1.0,0.3081305042
3.0,0.8122968338
5.0,1.1938869595
10.0,1.8253508044
20.0,2.4489979791
30.0,2.7866553588
