p,q
1e-05,2.4942e-06
5e-05,2.49418e-05
0.0001,4.98835e-05
0.0003,0.000212005
0.0006,0.0003915857
0.0009,0.0006784159
0.001,0.0007133344
0.003,0.0023170897
0.006,0.0043498434
0.009,0.0058513375
0.01,0.0066295205
0.03,0.020307583
0.06,0.0398494538
0.09,0.0603316291
0.1,0.0671956021
0.2,0.1332613424
0.3,0.198099948
0.4,0.2640534504
0.5,0.32818371
0.6,0.3886899314
0.7,0.4594646765
0.8,0.5112811879
0.9,0.5752144075
1.0,0.6285149538
3.0,1.6452534281
5.0,2.4641912554
10.0,3.809472601
20.0,5.2220842343
30.0,5.9453479552
