p,q
1e-05,0.0001052234
5e-05,0.0005143487
0.0001,0.0011000001
0.0003,0.0031906233
0.0006,0.0062635625
0.0009,0.0097567031
0.001,0.0109376975
0.003,0.0318916953
0.006,0.0643219684
0.009,0.0922567094
0.01,0.104262563
0.03,0.2872100911
0.06,0.5159194226
0.09,0.7017806702
0.1,0.7562358663
0.2,1.1048950496
0.3,1.2783053209
0.4,1.3813951966
0.5,1.454558009
0.6,1.4997563132
0.7,1.5449103129
0.8,1.5726837574
0.9,1.5974098764
1.0,1.6141999343
3.0,1.7672390901
5.0,1.835972135
10.0,1.927945018
20.0,2.1117149502
30.0,2.2492814176
