p,q
1e-05,8.0883e-06
5e-05,3.14543e-05
0.0001,6.56047e-05
0.0003,0.0001977128
0.0006,0.0004394617
0.0009,0.0005877463
0.001,0.0006605406
0.003,0.002142488
0.006,0.004005482
0.009,0.0060868588
0.01,0.0067267293
0.03,0.0200966094
0.06,0.0395371718
0.09,0.0582372098
0.1,0.0649926974
0.2,0.1260446188
0.3,0.1836590332
0.4,0.2353222917
0.5,0.2813920748
0.6,0.3202318596
0.7,0.3673791776
0.8,0.4021137252
0.9,0.4478563835
1.0,0.4736659947
3.0,0.9440742214
5.0,1.1831943967
10.0,1.4683933419
20.0,1.716366558
30.0,1.839911907
